KandNum,KandName
1,OMMO
2,SBB+SDŽ
3,SN
4,SBB+SDŽ
5,KČ
6,SBB+SDŽ
7,PB
8,SPOZ
9,PRO!kraj
10,SNKED+AL
11,TOP+STAN
12,KDUČSLSs
13,FiS
14,SOS
15,Koal_KVK
16,SsČR
17,TOP+STAN
18,Koal_KHK
19,SJB+SZR.
20,M
21,SBB+SDŽ
22,NÁR.SOC.
23,SLK
24,NP
25,SBB+SDŽ
26,NEZ
27,KONSSsČR
28,ČSR+VČ
29,TOP+STAN
30,VV
31,ZMEN2012
32,TOP+STAN
33,TOP+STAN
34,ZVUK2012
35,SSČR.CZ
36,TOP+STAN
37,BPS
38,NKEDSZSP
39,SBB+SDŽ
40,S.cz
41,ZHN+Dokt
42,TOP+STAN
43,KSČM
44,SBB+SDŽ
45,NO!
46,HOZK
47,PATRIOTI
48,TOP+STAN
49,SBB+KONS
50,ALTER
51,SZ
52,S2012
53,DSSS+SPE
54,SNKED+ML
55,KOALPAR1
56,MDS+ZH
57,Suveren.
58,M.O.R.
59,"JIH 12"
60,ČSSD
61,TOP+STAN
62,TOP+STAN
63,HNHRM
64,SNKED+Ss
65,RSČMS
66,Pro_VYS
67,ČSNS
68,KDUČSLED
69,SZ+Změna
70,ODS
71,VČ
72,Čssr
73,Koal_PLK
74,SZ+Změna
75,STO
76,TOP+STAN
77,Svobodní
78,HNPD
79,TOP+STAN
80,DSSS
81,Protest
82,KONS
83,KSČ
84,KDU-ČSL
85,SNK ED
86,TOP+STAN
87,Koal_OlK
88,UNP-STŘČ
89,NV
90,NBPLK
91,SPOZČeši
92,NEZ/DEM
93,Piráti